Id;Neighborhood;Kitchen;LotArea;YearBuilt;FullBath;Bedroom;GarageYrBlt;GarageCars;GarageArea;StartingPrice;
1;Veenker;1;8450;2003;2;3;2003;2;548;208500
2;CollgCr;1;9600;1976;2;3;1976;2;460;181500
3;Veenker;1;11250;2001;2;3;2001;2;608;223500
4;CollgCr;1;9550;1915;1;3;1998;3;642;140000
5;Crawfor;1;14260;2000;2;4;2000;3;836;250000
6;NoRidge;1;14115;1993;1;1;1993;2;480;143000
7;Mitchel;1;10084;2004;2;3;2004;2;636;307000
8;Somerst;1;10382;1973;2;3;1973;2;484;200000
9;Mitchel;1;4403;2009;2;2;2009;2;484;222000
10;BrkSide;1;8960;1927;1;2;1927;2;360;115000
11;Edwards;1;11228;1993;2;3;1993;3;678;228000
12;BrDale;1;8899;2007;2;3;2007;2;396;181134
13;NWAmes;1;7844;1978;1;3;1978;2;440;149500
14;IDOTRR;1;22420;1918;2;4;1918;3;864;239000
15;NAmes;1;8160;1940;1;3;1940;1;240;126000
16;NAmes;1;8450;1968;1;3;1968;1;304;142000
17;NAmes;1;7060;1997;2;2;1997;4;784;206300
18;NAmes;1;16635;1977;2;3;1977;2;529;215000
19;Gilbert;1;21750;1954;1;2;1954;2;520;113000
20;ClearCr;1;9200;1998;2;4;1998;3;696;315000
21;SawyerW;1;9000;1956;1;2;1956;1;297;139000
22;NAmes;1;3378;1946;1;3;1947;1;240;135000
23;CollgCr;1;12800;1989;2;2;1989;2;569;275000
24;Edwards;1;8593;1957;1;3;1964;1;352;106008
25;CollgCr;1;6762;2007;2;2;2008;2;628;196400
26;Somerst;1;11457;1988;2;3;1988;2;576;165000
27;StoneBr;1;1680;1971;1;2;1971;1;264;85600
28;Veenker;1;8450;2003;2;3;2003;2;548;206500
29;CollgCr;1;9600;1976;2;3;1976;2;460;186500
30;Veenker;1;11250;2001;2;3;2001;2;608;263500
31;CollgCr;1;9550;1915;1;3;1998;3;642;146000
32;Crawfor;1;14260;2000;2;4;2000;3;836;260000
33;NoRidge;1;14115;1993;1;1;1993;2;480;143000
34;Mitchel;1;10084;2004;2;3;2004;2;636;307000
35;Somerst;1;10382;1973;2;3;1973;2;484;200000
36;Mitchel;1;4403;2009;2;2;2009;2;484;222000
37;BrkSide;1;8960;1927;1;2;1927;2;360;115000
38;Edwards;1;11228;1993;2;3;1993;3;678;228000
39;BrDale;1;8899;2007;2;3;2007;2;396;181134
40;NWAmes;1;7844;1978;1;3;1978;2;440;149500
41;IDOTRR;1;22420;1918;2;4;1918;3;864;239000
42;NAmes;1;8160;1940;1;3;1940;1;240;126000
43;NAmes;1;8450;1968;1;3;1968;1;304;142000
44;NAmes;1;7060;1997;2;2;1997;4;784;206300
45;NAmes;1;16635;1977;2;3;1977;2;529;215000
46;Gilbert;1;21750;1954;1;2;1954;2;520;113000
47;ClearCr;1;9200;1998;2;4;1998;3;696;315000
48;SawyerW;1;9200;1956;1;2;1956;1;297;139000
49;NAmes;1;3378;1946;1;3;1947;1;240;135000
50;CollgCr;1;12800;1989;2;2;1989;2;569;275000
51;Edwards;1;8593;1957;1;3;1964;1;352;109008
52;CollgCr;1;6762;2007;2;2;2007;2;628;195400
53;Somerst;1;11457;1988;2;3;1988;2;576;175000
54;StoneBr;1;1680;1971;1;2;1971;1;264;85400
55;CollgCr;1;9630;1976;2;3;1976;2;460;181500
56;Veenker;1;11350;2001;2;3;2001;2;608;223900
57;CollgCr;1;9530;1915;1;3;1998;3;642;140090
58;Crawfor;1;14360;2000;2;4;2000;3;836;250900
59;NoRidge;1;14315;1993;1;1;1993;2;480;143900
60;Mitchel;1;10384;2004;2;3;2004;2;636;307900
61;Somerst;1;10382;1973;2;3;1973;2;484;200900
62;Mitchel;1;4423;2009;2;2;2009;2;484;222090
63;BrkSide;1;8920;1927;1;2;1927;2;360;115300
64;Edwards;1;11228;1993;2;3;1993;3;678;223000
65;BrDale;1;8890;2007;2;3;2007;2;396;181134
66;NWAmes;1;7840;1978;1;3;1978;2;440;149530
67;IDOTRR;1;22420;1918;2;4;1918;3;864;239300
68;NAmes;1;8120;1940;1;3;1940;1;240;126105
69;NAmes;1;8420;1968;1;3;1968;1;304;142103
70;NAmes;1;7020;1997;2;2;1997;4;784;206100
71;NAmes;1;16615;1977;2;3;1977;2;529;212000
72;Gilbert;1;21720;1954;1;2;1954;2;520;113400
73;ClearCr;1;9240;1998;2;4;1998;3;696;315040
74;SawyerW;1;9040;1956;1;2;1956;1;297;139040
75;NAmes;1;3378;1946;1;3;1947;1;240;145000
76;CollgCr;1;12200;1989;2;2;1989;2;569;285000
77;Edwards;1;8523;1957;1;3;1964;1;352;108008
78;CollgCr;1;6722;2007;2;2;2007;2;628;198400
79;Somerst;1;11417;1988;2;3;1988;2;576;195000
80;StoneBr;1;1681;1971;1;2;1977;1;264;84400





